Date,Open,High,Low,Close,Volume,Adjustment
12-29-17,1182.35,1184,1169.08,1169.47,1449481,
12-28-17,1189,1190.1,1184.38,1186.1,1159397,
12-27-17,1180.74,1187.29,1175.61,1182.26,1153860,
12-26-17,1168.94,1178.32,1160.55,1176.76,1308520,
12-22-17,1172.08,1174.62,1167.83,1168.36,984087,
12-21-17,1175.9,1179.17,1167.64,1174.76,1272148,
12-20-17,1190.8,1191.01,1176,1177.62,1392857,
12-19-17,1189.15,1192.97,1179.14,1187.38,1591319,
12-18-17,1187.37,1194.78,1180.9,1190.58,1767033,
12-15-17,1177.85,1182.75,1169.33,1179.14,2619524,
12-14-17,1163.71,1177.93,1162.45,1174.26,2057530,
12-13-17,1170,1170.87,1160.26,1164.13,1575709,
12-12-17,1166.51,1173.6,1161.61,1165.08,1406858,
12-11-17,1164.6,1169.9,1156.99,1168.92,1428766,
12-08-17,1170.4,1172.79,1157.1,1162,1896684,
12-07-17,1156.59,1163.2,1151,1159.79,1584302,
12-06-17,1138.58,1155.89,1136.08,1152.35,1818376,
12-05-17,1128.25,1159.27,1124.74,1141.57,2785094,
12-04-17,1173.85,1175.2,1128,1133.95,4063339,
12-01-17,1172.05,1179.65,1152,1162.35,2627372,
11-30-17,1167.1,1178.58,1160,1176.75,2646396,
11-29-17,1194.8,1194.8,1145.19,1161.27,6479516,
11-28-17,1204.6,1205.35,1188.52,1193.6,2967707,
11-27-17,1202.66,1213.41,1191.14,1195.83,4492918,
11-24-17,1160.7,1186.85,1160.7,1186,2303346,
11-22-17,1141,1160.27,1140.99,1156.16,2435473,
11-21-17,1132.59,1140,1128.2,1139.49,1517699,
11-20-17,1129.77,1133.42,1122.55,1126.31,1305849,
11-17-17,1138.26,1138.8,1125.81,1129.88,1479078,
11-16-17,1130.16,1138.11,1130.05,1137.29,1360862,
11-15-17,1127.01,1131.75,1121.63,1126.69,2676398,
11-14-17,1130.11,1138,1123.89,1136.84,2100335,
11-13-17,1123,1139.9,1122.34,1129.17,1972786,
11-10-17,1125.5,1131.75,1124.06,1125.35,1380834,
11-09-17,1127.41,1129.63,1115.77,1129.13,2277401,
11-08-17,1122.23,1135.54,1119.11,1132.88,1683368,
11-07-17,1124.74,1130.6,1117.5,1123.17,1774411,
11-06-17,1109.15,1125.41,1108.77,1120.66,2159162,
11-03-17,1090.7,1112.68,1088.51,1111.6,2476986,
11-02-17,1097.81,1101.94,1086.86,1094.22,2519716,
11-01-17,1105.4,1108.97,1096.74,1103.68,2480882,
10-31-17,1109,1110.54,1101.12,1105.28,2283191,
10-30-17,1095.42,1122.79,1093.56,1110.85,4456841,
10-27-17,1057.03,1105.59,1050.55,1100.95,11125360,
10-26-17,980.33,982.9,968.55,972.43,2372049,
10-25-17,978,984.44,966.24,972.91,1990381,
10-24-17,969,979.85,965,975.9,1741769,
10-23-17,986.73,986.78,962.49,966.3,2330918,
10-20-17,993.53,994.63,982,982.91,1396339,
10-19-17,990.33,991.05,980.24,986.61,1959484,
10-18-17,1009.27,1022.31,996.55,997,1707200,
10-17-17,1005.59,1011.47,1004.38,1009.13,1485684,
10-16-17,1008.8,1009.58,1001.04,1006.34,1353248,
10-13-17,1007,1007.77,1001.03,1002.94,1582795,
10-12-17,996.85,1008.44,992.4,1000.93,2798540,
10-11-17,991.27,995.51,986.69,995,1557083,
10-10-17,996.67,997.95,980.09,987.2,2188982,
10-09-17,993.24,998.5,987.5,990.99,2023173,
10-06-17,975.64,995.75,975.64,989.58,2658320,
10-05-17,970,981.51,969.64,980.85,2023145,
10-04-17,954.21,967.79,954.05,965.45,1645729,
10-03-17,958,963.69,950.37,957.1,1782776,
10-02-17,964,967.31,952.12,959.19,1609482,
09-29-17,959.7,964.83,958.37,961.35,1494020,
09-28-17,951.11,959.7,950.1,956.4,1617134,
09-27-17,948,955.3,943.3,950.87,2037117,
09-26-17,945.49,948.63,931.75,938.6,2228614,
09-25-17,949.31,949.42,932.89,939.79,3238699,
09-22-17,961.01,965.61,954.42,955.1,1715585,
09-21-17,971.31,971.7,962.02,964.65,1452896,
09-20-17,971.79,974.81,962.16,973.21,1858400,
09-19-17,977.25,978.24,967.46,969.86,1643669,
09-18-17,990.4,992.8,968.17,974.19,2194584,
09-15-17,991.87,996.25,984.03,986.79,2334051,
09-14-17,996.8,998.56,987.74,992.21,2436115,
09-13-17,982.5,1000,979.42,999.6,2162172,
09-12-17,983.27,984.68,975.51,982.58,1634350,
09-11-17,974.46,981.94,974.22,977.96,1309111,
09-08-17,979.1,979.88,963.47,965.9,1626118,
09-07-17,974,980.59,972.55,979.47,1614781,
09-06-17,968.32,971.84,960.6,967.8,1366516,
09-05-17,975.4,976.77,960.37,965.27,1812402,
09-01-17,984.2,984.5,976.87,978.25,1445977,
08-31-17,974.7,981,972.76,980.6,1846784,
08-30-17,958.44,969.41,956.9,967.59,1721949,
08-29-17,940,956,936.33,954.06,1735974,
08-28-17,946.54,953,942.25,946.02,1499606,
08-25-17,956,957.63,944.1,945.26,2092540,
08-24-17,957.42,959,941.14,952.45,3349579,
08-23-17,959.38,962,954.2,958,1579322,
08-22-17,956.1,967.93,955.52,966.9,1759386,
08-21-17,957.57,961.2,945.46,953.29,1861470,
08-18-17,961.4,965.43,954.65,958.47,2127143,
08-17-17,977.84,977.84,960.32,960.57,2221644,
08-16-17,981.65,986.47,973.22,978.18,1910369,
08-15-17,988.9,991.75,982,982.74,1721707,
08-14-17,978.42,985.51,976.19,983.3,2076081,
08-11-17,960.07,970.39,951.37,967.99,2244194,
08-10-17,976.3,979.86,954.68,956.92,3698022,
08-09-17,982.6,988,975.27,982.01,2271873,
08-08-17,994.35,996.28,985.79,989.84,1883074,
08-07-17,990.65,995,987.14,992.27,1753691,
08-04-17,989.68,991.68,982,987.58,1850318,
08-03-17,999.47,999.51,984.59,986.92,2108352,
08-02-17,1001.77,1003.21,981.73,995.89,2718247,
08-01-17,996.11,1006.4,991.58,996.19,2947038,
07-31-17,1019.05,1019.05,987.02,987.78,4887362,
07-28-17,1011.9,1032.85,1001,1020.04,4903114,
07-27-17,1069.73,1083.31,1040.17,1046,6666713,
07-26-17,1043.2,1053.2,1043.2,1052.8,1799775,
07-25-17,1038.05,1043.34,1032.48,1039.87,1491183,
07-24-17,1028.34,1043.01,1027.42,1038.95,1966399,
07-21-17,1021.94,1026.1,1011,1025.67,1691078,
07-20-17,1031.59,1034.97,1022.51,1028.7,1927162,
07-19-17,1025,1031.59,1022.49,1026.87,2021577,
07-18-17,1006,1026.03,1004,1024.45,2734790,
07-17-17,1004.69,1014.75,1003.81,1010.04,2281071,
07-14-17,1002.4,1004.45,996.89,1001.81,1343406,
07-13-17,1004.41,1006.88,995.9,1000.63,1864764,
07-12-17,1000.65,1008.55,998.1,1006.51,2395376,
07-11-17,993.45,995.99,983.72,994.13,2000352,
07-10-17,985,999.44,983.5,996.47,2300079,
07-07-17,969.55,980.11,969.14,978.76,1722185,
07-06-17,964.66,974.4,959.02,965.14,2217027,
07-05-17,961.08,975,955.25,971.4,2478784,
07-03-17,972.49,974.49,951,953.66,1945486,
06-30-17,980.12,983.47,967.61,968,2236087,
06-29-17,980.13,987.56,965.25,975.93,2848529,
06-28-17,978.94,990.68,969.21,990.33,2504093,
06-27-17,990.69,998.8,976,976.78,2547706,
06-26-17,1008.5,1009.8,992,993.98,2296456,
06-23-17,1002.23,1004.63,998.02,1003.74,1567578,
06-22-17,1002.23,1006.96,997.2,1001.3,1529152,
06-21-17,998.7,1002.72,992.65,1002.23,2009060,
06-20-17,998,1004.88,992.02,992.59,2947735,
06-19-17,1017,1017,989.9,995.17,3360227,
06-16-17,995.21,999.75,982,987.71,7789309,
06-15-17,955.42,965.73,950.86,964.17,3820696,
06-14-17,988.58,990.34,966.71,976.47,2763841,
06-13-17,977.99,984.5,966.1,980.79,3123922,
06-12-17,967.31,975.95,945,964.91,6801392,
06-09-17,1012.49,1012.99,927,978.31,5218822,
06-08-17,1012.06,1013.61,1006.11,1010.27,1825291,
06-07-17,1006.01,1010.25,1002,1010.07,1909541,
06-06-17,1011.84,1016.5,1001.25,1003,2264501,
06-05-17,1007.22,1013.21,1003.51,1011.34,1859072,
06-02-17,998.99,1008.48,995.67,1006.73,2638959,
06-01-17,998.59,998.99,991.37,995.95,1662729,
