Date,Open,High,Low,Close,Volume,Adjustment
12-31-15,686.08,687.75,675.93,675.89,2691428,
12-30-15,691.89,695.49,686.37,689.07,2619852,
12-29-15,677.98,696.44,677.88,693.97,4374747,
12-28-15,665.56,675.5,665.5,675.2,2387882,
12-24-15,663.35,664.68,660.6,662.79,761268,
12-23-15,666.09,666.6,656.63,663.7,1998595,
12-22-15,666.83,668.49,659.26,663.15,1755054,
12-21-15,668.5,669.9,658.93,664.51,2232069,
12-18-15,668.77,676.84,664.13,664.14,4166635,
12-17-15,680,682.5,670.7,670.65,2512281,
12-16-15,663.56,677.35,659.32,675.77,2774578,
12-15-15,665.72,671.5,657.35,658.64,3245966,
12-14-15,641.75,658.59,635.27,657.91,2968477,
12-11-15,651.23,657.88,639.62,640.15,3828762,
12-10-15,665.59,668.53,659.56,662.32,2531586,
12-09-15,678.07,679,655.68,664.79,3830328,
12-08-15,663.13,679.99,659.79,677.33,2678193,
12-07-15,674.74,675.46,660.5,669.83,2793838,
12-04-15,668.14,674.78,661.4,672.64,3250743,
12-03-15,679.44,682.79,661.48,666.25,3560617,
12-02-15,681.24,684.82,674.25,676.01,3092196,
12-01-15,673.75,681,667.86,679.06,3458669,
11-30-15,675.9,681.29,664.6,664.8,3900396,
11-27-15,680.8,680.99,672.1,673.26,1446326,
11-25-15,675,679.7,671.24,675.34,2029983,
11-24-15,674.14,675.8,661.21,671.15,3393276,
11-23-15,671.5,682.77,670.12,678.99,3288573,
11-20-15,668.07,668.87,657.57,668.45,2848018,
11-19-15,664.94,672.86,659,661.27,3612347,
11-18-15,646.51,664.88,646.37,663.54,3171829,
11-17-15,651.8,653.25,641,643.3,3225385,
11-16-15,640.92,649.99,622.29,647.81,5764476,
11-13-15,663.57,667,640.45,642.35,4777290,
11-12-15,673,675.64,664.22,665.6,3119903,
11-11-15,664.33,675.96,663.25,673.25,4045769,
11-10-15,651.01,660,647.26,659.68,2440883,
11-09-15,658.65,661.96,647.84,655.49,2857941,
11-06-15,655,662.26,652,659.37,3029936,
11-05-15,646.94,657,643.09,655.65,3633730,
11-04-15,627.76,645.93,627.35,640.95,3618759,
11-03-15,629.53,629.89,622,625.31,2261478,
11-02-15,627.13,628.63,620.41,628.35,2043053,
10-30-15,625.78,630.72,625.28,625.9,2727266,
10-29-15,617.64,627.54,615.39,626.55,2995176,
10-28-15,612.3,617.23,609.5,617.1,2999479,
10-27-15,608.6,614.71,605.53,611.01,2644712,
10-26-15,601.44,609.85,596.29,608.61,3166463,
10-23-15,618.05,619.45,595.36,599.03,7952697,
10-22-15,562.75,569.15,556.67,563.91,4532216,
10-21-15,563.87,565.25,552.52,555.77,2504781,
10-20-15,572,573,555.28,560.88,3239311,
10-19-15,570.87,579,567.38,573.15,3324691,
10-16-15,565.13,570.94,560.31,570.76,3236500,
10-15-15,547.75,563,547,562.44,3752146,
10-14-15,551.34,552.25,539.68,544.83,2708053,
10-13-15,546.26,553.2,543.1,548.9,1956309,
10-12-15,539.96,550.82,539.8,550.19,2086603,
10-09-15,534.43,541.79,530.27,539.8,2549142,
10-08-15,536.3,539.39,519.89,533.16,3665191,
10-07-15,541.48,542,529,541.94,3035411,
10-06-15,545.5,551.5,533.33,537.48,3417096,
10-05-15,536.99,545.91,536,543.68,2624412,
10-02-15,510.49,532.6,508.1,532.54,3636721,
10-01-15,511,520.8,506,520.72,2931476,
09-30-15,505.4,512.8,501.67,511.89,2862452,
09-29-15,506,511.48,490.5,496.07,3052841,
09-28-15,520.03,520.28,494.33,504.06,4041791,
09-25-15,542.45,542.8,521.4,524.25,2998169,
09-24-15,530.55,534.56,522.87,533.75,2614796,
09-23-15,538.3,541.21,534,536.07,1733509,
09-22-15,539.83,543.55,532.66,538.4,2977567,
09-21-15,544.28,549.78,539.59,548.39,2519392,
09-18-15,534.62,546.24,531.35,540.26,4307732,
09-17-15,526.98,546.97,526.57,538.87,3105144,
09-16-15,521.98,528.3,518.52,527.39,1723422,
09-15-15,523.25,527.92,517.2,522.37,2228986,
09-14-15,529.44,532.45,518.58,521.38,2194285,
09-11-15,521.07,529.43,520.6,529.44,2380793,
09-10-15,515.15,526.13,514.78,522.24,1864034,
09-09-15,524,529.95,515.06,516.89,3204895,
09-08-15,508.69,518.35,508.51,517.54,2953397,
09-04-15,497.65,502.85,495.64,499,1933674,
09-03-15,514.5,515.84,502.57,504.72,2360712,
09-02-15,505.09,510.86,497.72,510.55,2787030,
09-01-15,499.14,510,493.43,496.54,2677458,
08-31-15,516.42,519.41,509.07,512.89,4225656,
08-28-15,517.03,521.5,513.04,518.01,1963996,
08-27-15,513.71,522.69,507.26,518.37,4122679,
08-26-15,484.02,503.72,478.76,500.77,4765705,
08-25-15,487.49,489.44,466.25,466.37,4019872,
08-24-15,463.15,489.76,451,463.37,7791250,
08-21-15,507.12,512.33,494.47,494.47,5108243,
08-20-15,530.39,533.25,515.77,515.78,3418870,
08-19-15,533.74,537.25,529,532.92,1750703,
08-18-15,535.04,539.49,533,535.02,1563650,
08-17-15,531.29,538.74,527.12,535.22,1949225,
08-14-15,528.26,534.11,528.25,531.52,1507638,
08-13-15,527.37,534.66,525.48,529.66,2137628,
08-12-15,523.75,527.5,513.06,525.91,3014528,
08-11-15,523.73,528.98,522,527.46,1969880,
08-10-15,528.79,532.28,523,524,1996494,
08-07-15,529.16,529.46,518.21,522.62,3158316,
08-06-15,539.82,542.74,527.52,529.46,3035757,
08-05-15,538.8,539.14,534.11,537.01,2117328,
08-04-15,529.99,536.95,529.17,531.9,2292499,
08-03-15,537.45,540.44,529.36,535.03,2330958,
07-31-15,538.85,542.84,534.52,536.15,2220080,
07-30-15,527.65,539.2,524.29,536.76,2958905,
07-29-15,530.92,532.97,525.02,529,3009249,
07-28-15,536,536.39,523.12,526.03,4101175,
07-27-15,527.75,544.95,526.6,531.41,6089173,
07-24-15,579,580.57,529.35,529.42,17596447,
07-23-15,491.66,491.66,475.7,482.18,4855914,
07-22-15,485.95,492.5,484.9,488.27,2425061,
07-21-15,487.9,488.88,482.55,488,2311330,
07-20-15,493.45,493.45,485.4,488.1,3576145,
07-17-15,477.7,485.42,477.25,483.01,3799954,
07-16-15,465.5,475.88,464.8,475.48,3005741,
07-15-15,463.05,464.7,460.2,461.19,2334539,
07-14-15,462.32,469.6,458.16,465.57,3699225,
07-13-15,448.29,457.87,447.54,455.57,3014454,
07-10-15,440.49,444.72,439,443.51,1794318,
07-09-15,434.9,438.72,434.15,434.39,1758169,
07-08-15,434.35,435.99,428.83,429.7,1795981,
07-07-15,435.68,437.73,425.57,436.72,1947955,
07-06-15,435.23,439.73,433.52,436.04,1371160,
07-02-15,437,438.2,433.48,437.71,952638,
07-01-15,439.35,440,435.58,437.39,1496836,
06-30-15,434.2,435.57,430.46,434.09,1841708,
06-29-15,434.91,437,429,429.86,4220680,
06-26-15,441.76,443.49,435.06,438.1,1633593,
06-25-15,438.07,443.47,436.39,440.1,1800746,
06-24-15,444.97,446.47,440.23,440.84,1970779,
06-23-15,435.59,447.04,433.69,445.99,2557547,
06-22-15,437.07,439.24,434.18,436.29,1314336,
